title,url,discoutned_price,original_price
Sling Bag Polyhedron Chest Bag Waterproof Shoulder Bag Sports Chest Pack,https://www.cigabuy.com/sling-bag-polyhedron-chest-bag-waterproof-shoulder-bag-sports-chest-pack-p-19471.html,$6.19,$21.03 
Electric Hand Wood Trimmer 6.35mm Laminator Router Woodworking Tool Set,https://www.cigabuy.com/electric-hand-wood-trimmer-635mm-laminator-router-woodworking-tool-set-p-19614.html,$16.44,$100.54 
LED Mosquito Killer Lamp LED Electronic Bug Zapper Energy,https://www.cigabuy.com/led-mosquito-killer-lamp-led-electronic-bug-zapper-energy-p-19629.html,$5.98,$21.03 
ZORO PAUL USB Charging 15 inch Laptop Backpack Men,https://www.cigabuy.com/zoro-paul-usb-charging-15-inch-laptop-backpack-men-p-19526.html,$12.67,$52.61 
Massager USB Charging Knee Pad Support Heated Keep Warm Soft Brace 3 Gears,https://www.cigabuy.com/massager-usb-charging-knee-pad-support-heated-keep-warm-soft-brace-3-gears-p-20153.html,$10.79,$34.34 
Bluetooth 5.0 Audio Receiver Transmitter AUX USB Wireless Adapters Speaker,https://www.cigabuy.com/bluetooth-50-audio-receiver-transmitter-aux-usb-wireless-adapters-speaker-p-20072.html,$3.88,$9.51 
Genuine Leather Man Messenger Bags Vintage Cow Leather Small Shoulder Bag,https://www.cigabuy.com/genuine-leather-man-messenger-bags-vintage-cow-leather-small-shoulder-bag-p-19539.html,$12.88,$47.13 
Xiaomi Mijia 10inch LCD Blackboard Writing Tablet with Pen Digital Drawing Pad,https://www.cigabuy.com/xiaomi-mijia-10inch-lcd-blackboard-writing-tablet-with-pen-digital-drawing-pad-p-18917.html,$10.78,$26.92 
QC3.0 Car charger Car Kit Handsfree Wireless Bluetooth FM Transmitter MP3 Player,https://www.cigabuy.com/qc30-car-charger-car-kit-handsfree-wireless-bluetooth-fm-transmitter-mp3-player-p-19546.html,$6.19,$17.76 
160cm Boxing Punching Bag Inflatable Tumbler Back Sandbag with Air Pump,https://www.cigabuy.com/160cm-boxing-punching-bag-inflatable-tumbler-back-sandbag-with-air-pump-p-19545.html,$8.70,$73.48 
Xiaomi Pinjing Men Electric Shaver Razor 3D USB Rechargeable Washable Razor,https://www.cigabuy.com/xiaomi-pinjing-men-electric-shaver-razor-3d-usb-rechargeable-washable-razor-p-20144.html,$17.28,$55.33 
W15 TWS Wireless Headphones Bluetooth 5.0 For Waterproof Earbuds,https://www.cigabuy.com/w15-tws-wireless-headphones-bluetooth-50-for-waterproof-earbuds-p-19536.html,$10.95,$21.03 
Transparent Anti Droplet Dust-proof Medical Face Shield Face Cover Mask,https://www.cigabuy.com/transparent-anti-droplet-dust-proof-medical-face-shield-face-cover-mask-p-17899.html,$0.94,$2.39 
Electric Rivet Nut Gun Riveting Tool Cordless Riveting Drill Insert Nut Tool,https://www.cigabuy.com/electric-rivet-nut-gun-riveting-tool-cordless-riveting-drill-insert-nut-tool-p-19524.html,$7.02,$21.23 
Wireless Bluetooth Earphone F9 Sports Earphone Gaming Headset LED Power Display,https://www.cigabuy.com/wireless-bluetooth-earphone-f9-sports-earphone-gaming-headset-led-power-display-p-19578.html,$9.74,$21.03 
Bluetooth 5.0 NFC Receiver Stereo Audio Music Support USB Disk TF Card,https://www.cigabuy.com/bluetooth-50-nfc-receiver-stereo-audio-music-support-usb-disk-tf-card-p-19586.html,$6.71,$19.74 
New Designer Leather Belt Men Vintage Pin Buckle Belt Soft Belt 120cm,https://www.cigabuy.com/new-designer-leather-belt-men-vintage-pin-buckle-belt-soft-belt-120cm-p-19585.html,$6.39,$21.03 
Gravity on-Board Bracket Dashboard Alloy Mobile Phone Navigation Bracket,https://www.cigabuy.com/gravity-on-board-bracket-dashboard-alloy-mobile-phone-navigation-bracket-p-19544.html,$4.30,$12.90 
Xiaomi Fun Home Portable Water Vacuum Cup 520ml Outdoor Travel Tea Water Mug,https://www.cigabuy.com/xiaomi-fun-home-portable-water-vacuum-cup-520ml-outdoor-travel-tea-water-mug-p-20075.html,$14.14,$46.14 
USB Wired Gaming Computer game Adjustable Optical Mice Gaming Mouse Ergonomic,https://www.cigabuy.com/usb-wired-gaming-computer-game-adjustable-optical-mice-gaming-mouse-ergonomic-p-19462.html,$4.88,$16.44 
LS Mini WiFi FPV with 0.3MP/5.0/4KMP HD Camera Altitude Hold Mode Foldable Drone,https://www.cigabuy.com/ls-mini-wifi-fpv-with-03mp504kmp-hd-camera-altitude-hold-mode-foldable-drone-p-18910.html,$26.53,$47.92 
UV Light USB Mosquito Killer Lamp Electric Fly Mosquito Trap Anti Mosquito Bug,https://www.cigabuy.com/uv-light-usb-mosquito-killer-lamp-electric-fly-mosquito-trap-anti-mosquito-bug-p-20069.html,,
Wild Man Hard Case Bike Bag Bike Front Beam Bag Tube Waterproof Phone Bag,https://www.cigabuy.com/wild-man-hard-case-bike-bag-bike-front-beam-bag-tube-waterproof-phone-bag-p-19598.html,$7.02,$21.03 
2M1080P Type-C to HDMI Cable USB Lightning Port Adapter Converter,https://www.cigabuy.com/2m1080p-type-to-hdmi-cable-usb-lightning-port-adapter-converter-p-19528.html,$12.26,$21.03 
Car Inverter Intelligent Digital Display Converter Truck Auto Socket Charger,https://www.cigabuy.com/car-inverter-intelligent-digital-display-converter-truck-auto-socket-charger-p-19553.html,,
Tigernu No Key Anti theft TSA Lock Backpacks 15.6inch USB Charging Mochila 18L,https://www.cigabuy.com/tigernu-no-key-anti-theft-tsa-lock-backpacks-156inch-usb-charging-mochila-18l-p-19455.html,$14.98,$72.04 
TWS Wireless Bluetooth 5.0 LED Display Mini Headphones Sports Earphones,https://www.cigabuy.com/tws-wireless-bluetooth-50-led-display-mini-headphones-sports-earphones-p-19639.html,$12.05,$21.03 
115 in 1 Screwdriver Set Multifunctional PC Phone Electronic Device Repair Tools,https://www.cigabuy.com/115-in-1-screwdriver-set-multifunctional-pc-phone-electronic-device-repair-tools-p-18925.html,$7.30,$23.80 
Men Wallets Retro Frosted PU Wallet Two Folding Male Purse Credit Card Holder,https://www.cigabuy.com/men-wallets-retro-frosted-pu-wallet-two-folding-male-purse-credit-card-holder-p-19637.html,$3.00,$9.68 
PU Men's Business Messenger Bag Zipper Hasp Design Open Handbags,https://www.cigabuy.com/pu-mens-business-messenger-bag-zipper-hasp-design-open-handbags-p-19616.html,$8.91,$52.86 
USB C to HDMI Adapter 4K Cable Type C HDMI for USB-C HDMI Adapter,https://www.cigabuy.com/usb-to-hdmi-adapter-4k-cable-type-hdmi-for-usb-hdmi-adapter-p-20073.html,$5.77,$13.06 
G9 E-Sports USB Cable Gaming Mouse 3200DPI Universal Macro Programming Mouse,https://www.cigabuy.com/g9-e-sports-usb-cable-gaming-mouse-3200dpi-universal-macro-programming-mouse-p-19529.html,$5.77,$19.50 
Electric Screwdriver precision Charging electric Drill bit Power Tools,https://www.cigabuy.com/electric-screwdriver-precision-charging-electric-drill-bit-power-tools-p-19005.html,$12.35,$68.18 
Men Waist Pack Waterproof Leg Bag Drop Messenger Shoulder Bags Belt Purse,https://www.cigabuy.com/men-waist-pack-waterproof-leg-bag-drop-messenger-shoulder-bags-belt-purse-p-20074.html,$12.05,$43.39 
TWS Bluetooth 5.0 Earphone True Wireless Earphones In-Ear Stereo Earbuds,https://www.cigabuy.com/tws-bluetooth-50-earphone-true-wireless-earphones-in-ear-stereo-earbuds-p-19473.html,$15.58,$45.12 
8 in1 Digital LCD Car Tire Gauge Portable Car Tire Relief Valve Compass,https://www.cigabuy.com/8-in1-digital-lcd-car-tire-gauge-portable-car-tire-relief-valve-compass-p-19642.html,$8.28,$20.88 
BD03 Bluetooth Speakers Portable Wireless Loudspeaker Sound Stereo,https://www.cigabuy.com/bd03-bluetooth-speakers-portable-wireless-loudspeaker-sound-stereo-p-19579.html,$10.37,$50.51 
66 in 1 Screwdriver Sets Multifunctional Precision Hand Repair Tools,https://www.cigabuy.com/66-in-1-screwdriver-sets-multifunctional-precision-hand-repair-tools-p-19259.html,$7.66,$50.68 
TWS Wireless Bluetooth Headphones Stereo Waterproof Earphones With Mic Headset,https://www.cigabuy.com/tws-wireless-bluetooth-headphones-stereo-waterproof-earphones-with-mic-headset-p-19547.html,$14.98,$21.23 
"Cevapro Cycling Gloves, Touchscreen Winter Gloves Thicken Warm Gloves",https://www.cigabuy.com/cevapro-cycling-gloves-touchscreen-winter-gloves-thicken-warm-gloves-p-15269.html,$3.88,$19.94 
Charging Car TPMS Tire Pressure Monitoring System HD Digital LCD Display,https://www.cigabuy.com/charging-car-tpms-tire-pressure-monitoring-system-hd-digital-lcd-display-p-19454.html,$53.70,$128.01 
H50 Smart Watch Blood Pressure Heart Rate Monitor IP67 Waterproof Bracelet,https://www.cigabuy.com/h50-smart-watch-blood-pressure-heart-rate-monitor-ip67-waterproof-bracelet-p-19464.html,$13.30,$20.09 
5.0 Wireless Headphones TWS LED Display 9D Stereo Sports Headphone,https://www.cigabuy.com/50-wireless-headphones-tws-led-display-9d-stereo-sports-headphone-p-19538.html,$14.14,$21.19 
Philips M8 Tablet Quad Core 3+32GB 2MP + 5MP Cameras Dual Band 2.4G +5G WiFi,https://www.cigabuy.com/philips-m8-tablet-quad-core-332gb-2mp-5mp-cameras-dual-band-24g-5g-wifi-p-20015.html,$126.32,$243.61 
Zeodo ZD5000 20W Mini Electric Grinder Set DIY USB 3.7V DC Variable Speed Rotary,https://www.cigabuy.com/zeodo-zd5000-20w-mini-electric-grinder-set-diy-usb-37v-dc-variable-speed-rotary-p-19218.html,$10.54,$30.41 
Women Canvas Bucket Bags Solid Color Cross Body Bag Single-Shoulder Bag Handbag,https://www.cigabuy.com/women-canvas-bucket-bags-solid-color-cross-body-bag-single-shoulder-bag-handbag-p-15323.html,$1.14,$17.18 
Wireless Headphones Bluetooth 5.0 Foldable Stereo Adjustable Earphones,https://www.cigabuy.com/wireless-headphones-bluetooth-50-foldable-stereo-adjustable-earphones-p-19325.html,$8.42,$22.90 
Xiaomi ENCHEN Sharp3S Men's Electric Hair Clipper USB Rechargeable Hair Trimmer,https://www.cigabuy.com/xiaomi-enchen-sharp3s-mens-electric-hair-clipper-usb-rechargeable-hair-trimmer-p-18990.html,$13.96,$29.06 
Alarm Clock Intelligent Switch with Voice-controlled Night Light Clock,https://www.cigabuy.com/alarm-clock-intelligent-switch-with-voice-controlled-night-light-clock-p-19609.html,$11.42,$43.50 
USB LED Flashlight Rechargeable LED Torch Zoom XPE for Outdoor Bicycle Hiking,https://www.cigabuy.com/usb-led-flashlight-rechargeable-led-torch-zoom-xpe-for-outdoor-bicycle-hiking-p-18829.html,$2.15,$4.30 
EDUP USB Wifi Adapter Band Wirelss Network Card Antenna USB WiFi Dongle,https://www.cigabuy.com/edup-usb-wifi-adapter-band-wirelss-network-card-antenna-usb-wifi-dongle-p-19591.html,$13.93,$21.19 
Ozone Generator Machine Fruit & Vegetable Cleaning Machine Detoxification Ozone,https://www.cigabuy.com/ozone-generator-machine-fruit-vegetable-cleaning-machine-detoxification-ozone-p-20151.html,$21.67,$118.69 
Women PU Leather Crossbody Bags Small Handbags Chain Shoulder Messenger Bag,https://www.cigabuy.com/women-pu-leather-crossbody-bags-small-handbags-chain-shoulder-messenger-bag-p-19181.html,$4.14,$18.89 
All-Metal Automobile Safety Hammer Fire Emergency Escape Hammer Breaking Machine,https://www.cigabuy.com/all-metal-automobile-safety-hammer-fire-emergency-escape-hammer-breaking-machine-p-19592.html,$5.56,$21.03 
Xiaomi Mijia 13.5inch LCD Blackboard Writing Tablet with Pen Digital Drawing Pad,https://www.cigabuy.com/xiaomi-mijia-135inch-lcd-blackboard-writing-tablet-with-pen-digital-drawing-pad-p-18918.html,$20.30,$55.26 
Retractable Stool Folding Chair Superhard High Load Outdoor Camping Chair,https://www.cigabuy.com/retractable-stool-folding-chair-superhard-high-load-outdoor-camping-chair-p-20016.html,$8.38,$72.95 
TWS4 Bluetooth 5.0 Wireless Headphones Touch Mini In-Ear Buds w Charging Bin,https://www.cigabuy.com/tws4-bluetooth-50-wireless-headphones-touch-mini-in-ear-buds-w-charging-bin-p-18788.html,$6.81,$13.93 
Trail Hunting Camera Surveillance Version Wildlife Scouting Cameras,https://www.cigabuy.com/trail-hunting-camera-surveillance-version-wildlife-scouting-cameras-p-19029.html,$22.13,$45.27 
Joinrun S19 Bluetooth Speaker Column Wireless Portable Sound Box,https://www.cigabuy.com/joinrun-s19-bluetooth-speaker-column-wireless-portable-sound-box-p-19261.html,$16.08,$54.49 
Camping Cookware Kit Outdoor Cooking Set Water Kettle Pan Pot Travelling Hiking,https://www.cigabuy.com/camping-cookware-kit-outdoor-cooking-set-water-kettle-pan-pot-travelling-hiking-p-19534.html,$20.63,$91.67 
30L Car Organizer Storage Box Folding Storage Container Travel Sundry Trunk Box,https://www.cigabuy.com/30l-car-organizer-storage-box-folding-storage-container-travel-sundry-trunk-box-p-19627.html,$4.51,$62.53 
5-in-1 Multi-Functional Mini Handheld Car Air Pump,https://www.cigabuy.com/5-in-1-multi-functional-mini-handheld-car-air-pump-p-14854.html,$4.34,$29.03 
Men's Body Shaper Slimming Shirt Elastic Sculpting Vest Compression Shapewear,https://www.cigabuy.com/mens-body-shaper-slimming-shirt-elastic-sculpting-vest-compression-shapewear-p-13662.html,$2.02,$3.08 
Baellerry Mens Wallets Long Zipper Leisure Hand Package Soft Texture Purse,https://www.cigabuy.com/baellerry-mens-wallets-long-zipper-leisure-hand-package-soft-texture-purse-p-19601.html,$3.78,$16.75 
Bone Conduction Bluetooth Earphones 5.0 Wireless Bluetooth Earphone,https://www.cigabuy.com/bone-conduction-bluetooth-earphones-50-wireless-bluetooth-earphone-p-19640.html,$11.84,$21.03 
Strong Light LED Flashlight Multifunctional Outdoor Lighting USB Charging,https://www.cigabuy.com/strong-light-led-flashlight-multifunctional-outdoor-lighting-usb-charging-p-19247.html,$4.89,$15.77 
Multifunction Crossbody Bag for Men Anti-theft Shoulder Messenger Chest Bag,https://www.cigabuy.com/multifunction-crossbody-bag-for-men-anti-theft-shoulder-messenger-chest-bag-p-19045.html,$10.31,$48.62 
Car Windscreen Cover Sunshade Ice and Frost Guard,https://www.cigabuy.com/car-windscreen-cover-sunshade-ice-and-frost-guard-p-14668.html,$2.13,$17.53 
52-In-1 Screwdriver Multi-Function Manual Screwdriver Combination Repair Kit,https://www.cigabuy.com/52-in-1-screwdriver-multi-function-manual-screwdriver-combination-repair-kit-p-19262.html,$4.25,$20.88 
Kingsons Backpack Fit 15inch Laptop USB Multi-layer Space Waterproof Mochila,https://www.cigabuy.com/kingsons-backpack-fit-15inch-laptop-usb-multi-layer-space-waterproof-mochila-p-20158.html,$55.16,$165.49 
16.8V Electric Screwdriver Charging electric Drill bit Cordless drill Power Tool,https://www.cigabuy.com/168v-electric-screwdriver-charging-electric-drill-bit-cordless-drill-power-tool-p-19004.html,$16.11,$72.65 
T9 47-Key Gaming Keyboard Professional One-Single Hand USB Wired Keyboards,https://www.cigabuy.com/t9-47-key-gaming-keyboard-professional-one-single-hand-usb-wired-keyboards-p-18928.html,$7.08,$24.37 
KINSACH L2 Strong Light Torches Brightness 2000 Lumens Charging Flashlight,https://www.cigabuy.com/kinsach-l2-strong-light-torches-brightness-2000-lumens-charging-flashlight-p-18831.html,$7.78,$15.57 
Xiaomi MiJia PULIN Sonic Vibration Electric Shoes Brush IPX7 Waterproof,https://www.cigabuy.com/xiaomi-mijia-pulin-sonic-vibration-electric-shoes-brush-ipx7-waterproof-p-19600.html,$17.49,$44.03 
Automatic Stirring Mug Mixing Porcelain Mug Thermal Insulated Smart Cup,https://www.cigabuy.com/automatic-stirring-mug-mixing-porcelain-mug-thermal-insulated-smart-cup-p-19610.html,$19.37,$58.86 
Mini Auto Range Digital Multimeter Tester AC DC Ammeter Voltmeter Voltage Meter,https://www.cigabuy.com/mini-auto-range-digital-multimeter-tester-ac-dc-ammeter-voltmeter-voltage-meter-p-19254.html,$9.68,$29.41 
Hot Full Screen 0-150mm Vernier Caliper Gauge Micrometer Ruler Accurate Tools,https://www.cigabuy.com/hot-full-screen-0-150mm-vernier-caliper-gauge-micrometer-ruler-accurate-tools-p-19016.html,$7.44,$19.03 
Men Shaper Corset for Weight Loss with Zipper Waist Vest Workout Shirt,https://www.cigabuy.com/men-shaper-corset-for-weight-loss-with-zipper-waist-vest-workout-shirt-p-19043.html,$3.32,$17.39 
48-LED Outdoor Motion Sensor Solar Lights,https://www.cigabuy.com/48-led-outdoor-motion-sensor-solar-lights-p-17572.html,,
Giant Headset Speaker Bluetooth Earphone Mode Wireless Portable Speaker,https://www.cigabuy.com/giant-headset-speaker-bluetooth-earphone-mode-wireless-portable-speaker-p-18936.html,$5.14,$19.76 
Sunglasses Bluetooth 5.0 Earphone Headset X8S Headphones Smart Glasses,https://www.cigabuy.com/sunglasses-bluetooth-50-earphone-headset-x8s-headphones-smart-glasses-p-19313.html,$5.64,$19.13 
Bicycle Front Tube Pack Waterproof Electric Eva Hard Shell Balance Car Front Bag,https://www.cigabuy.com/bicycle-front-tube-pack-waterproof-electric-eva-hard-shell-balance-car-front-bag-p-19599.html,$8.91,$21.03 
5 LEDs USB Rechargeable Bike Cycling Tail Light,https://www.cigabuy.com/5-leds-usb-rechargeable-bike-cycling-tail-light-p-11703.html,$1.15,$8.10 
1-2 Person Outdoor Camping Hiking Picnic Pot Set Portable Tableware Mess Cooking,https://www.cigabuy.com/1-2-person-outdoor-camping-hiking-picnic-pot-set-portable-tableware-mess-cooking-p-19535.html,$7.55,$45.12 
Men Handbags Large Capacity Casual Street Trend Single Shoulder Bag,https://www.cigabuy.com/men-handbags-large-capacity-casual-street-trend-single-shoulder-bag-p-19617.html,$12.26,$81.78 
HOCO B12 Wholesale Multi-function Type-C to 4 in 1 USB 3.0 OTG Adapter,https://www.cigabuy.com/hoco-b12-wholesale-multi-function-type-to-4-in-1-usb-30-otg-adapter-p-19636.html,$15.19,$21.19 
Roaster Sandwich Maker Bread Oven Electric Grill Meat Steak Hamburger Machine,https://www.cigabuy.com/roaster-sandwich-maker-bread-oven-electric-grill-meat-steak-hamburger-machine-p-20152.html,$8.70,$73.48 
20pcs Strong BBQ Kit BBQ Tools Camp Shovel Cooking Roast Fork Stainless Steel,https://www.cigabuy.com/20pcs-strong-bbq-kit-bbq-tools-camp-shovel-cooking-roast-fork-stainless-steel-p-20154.html,$8.70,$75.66 
Retro Bluetooth speaker Powerful portable speakers Mini Wireless Speaker Stereo,https://www.cigabuy.com/retro-bluetooth-speaker-powerful-portable-speakers-mini-wireless-speaker-stereo-p-19417.html,$6.94,$23.02 
Baellerry Mini Pop Up Rfid Wallet Men Slim PU Leather Business Credit Card,https://www.cigabuy.com/baellerry-mini-pop-up-rfid-wallet-men-slim-pu-leather-business-credit-card-p-19203.html,$3.29,$9.14 
ThiEYE i60+ 4K WiFi Remote Control Action Camera Biking Diving Sport Camera,https://www.cigabuy.com/thieye-i60-4k-wifi-remote-control-action-camera-biking-diving-sport-camera-p-18919.html,$52.32,$117.03 
LED Beanie Cap LED Hands Free Flashlight Install Quick Release Headlamp ,https://www.cigabuy.com/led-beanie-cap-led-hands-free-flashlight-install-quick-release-headlamp-p-14662.html,$2.76,$13.02 
Faster Lawn Mower Sharpener Lawnmower Blade Sharpener Rotary,https://www.cigabuy.com/faster-lawn-mower-sharpener-lawnmower-blade-sharpener-rotary-p-19014.html,$0.96,$4.80 
Woodworking Scribe T-type Ruler Hole Scribing ruler Gauge DIY Measuring Tool,https://www.cigabuy.com/woodworking-scribe-t-type-ruler-hole-scribing-ruler-gauge-diy-measuring-tool-p-20070.html,$13.93,$31.83 
Baellerry Men Wallet Luxury Long Clutch Handy Bag Male PU Leather Purse,https://www.cigabuy.com/baellerry-men-wallet-luxury-long-clutch-handy-bag-male-pu-leather-purse-p-20149.html,$5.45,$22.21 
7pcs Dinnerware Set Travel Camping Cutlery Set Reusable with Straw Spoon Fork,https://www.cigabuy.com/7pcs-dinnerware-set-travel-camping-cutlery-set-reusable-with-straw-spoon-fork-p-20155.html,$4.74,$23.45 
Glass Bottle Cutter Tool Professional For Bottles Cutting Glass Cut Tools ,https://www.cigabuy.com/glass-bottle-cutter-tool-professional-for-bottles-cutting-glass-cut-tools-p-18988.html,$2.46,$8.69 
Mouse Colorful Backlit Keyboard Wired USB Ergonomic Keyboards and Mouse,https://www.cigabuy.com/mouse-colorful-backlit-keyboard-wired-usb-ergonomic-keyboards-and-mouse-p-18841.html,$4.97,$9.93 
4pcs Motorcycle Knee & Elbow Protective Pads Motocross Skating Knee Protectors,https://www.cigabuy.com/4pcs-motorcycle-knee-elbow-protective-pads-motocross-skating-knee-protectors-p-19040.html,$8.48,$42.33 
3 Port 4K*2K 1080P Switcher HDMI Switch Selector 3x1 Splitter Box Ultra HD,https://www.cigabuy.com/3-port-4k2k-1080p-switcher-hdmi-switch-selector-3x1-splitter-box-ultra-hd-p-19023.html,$3.51,$9.49 
Hanging Neck Mini Fan Cooler Small Fan Handheld USB Rechargeable,https://www.cigabuy.com/hanging-neck-mini-fan-cooler-small-fan-handheld-usb-rechargeable-p-20071.html,$7.86,$22.02 
L18 Smart Wristband Heart Rate Monitor Blood Pressure Oxygen Smart Bracelet,https://www.cigabuy.com/l18-smart-wristband-heart-rate-monitor-blood-pressure-oxygen-smart-bracelet-p-19807.html,,
SOKI Sport Watches Leather Strap Quartz Casual Business Male Wristwatches,https://www.cigabuy.com/soki-sport-watches-leather-strap-quartz-casual-business-male-wristwatches-p-19242.html,$2.86,$7.80 
Car Radio Stereo Player Bluetooth Phone AUX-IN MP3 Car Audio Auto,https://www.cigabuy.com/car-radio-stereo-player-bluetooth-phone-aux-in-mp3-car-audio-auto-p-19284.html,,
